央视,#genre#
CCTV1,http://192.168.1.1:7088/udp/225.2.1.120:5000
CCTV2,http://192.168.1.1:7088/udp/225.2.1.133:5000
CCTV3,http://192.168.1.1:7088/udp/225.2.1.158:5000
CCTV4,http://192.168.1.1:7088/udp/225.2.1.150:5000
CCTV5,http://192.168.1.1:7088/udp/225.2.1.160:5000
CCTV5+,http://192.168.1.1:7088/udp/225.2.1.121:5000
CCTV6,http://192.168.1.1:7088/udp/225.2.1.195:5000
CCTV7,http://192.168.1.1:7088/udp/225.2.1.138:5000
CCTV8,http://192.168.1.1:7088/udp/225.2.1.196:5000
CCTV9,http://192.168.1.1:7088/udp/225.2.1.119:5000
CCTV10,http://192.168.1.1:7088/udp/225.2.1.140:5000
CCTV11,http://192.168.1.1:7088/udp/239.0.2.192:5000
CCTV12,http://192.168.1.1:7088/udp/225.2.1.142:5000
CCTV13,http://192.168.1.1:7088/udp/239.0.2.193:5000
CCTV14,http://192.168.1.1:7088/udp/225.2.1.144:5000
CCTV15,http://192.168.1.1:7088/udp/239.0.2.194:5000
CCTV16,http://192.168.1.1:7088/udp/239.0.2.237:5000
CCTV17,http://192.168.1.1:7088/udp/239.0.2.52:5000
CGTN,http://192.168.1.1:7088/udp/225.2.1.27:5000
CGTNDocumentary,http://192.168.1.1:7088/udp/225.2.1.55:5000

天津,#genre#
天津卫视,http://192.168.1.1:7088/udp/225.2.1.111:5000
天津新闻,http://192.168.1.1:7088/udp/225.2.1.130:5000
天津文艺,http://192.168.1.1:7088/udp/225.2.1.131:5000
天津影视,http://192.168.1.1:7088/udp/225.2.1.149:5000
天津都市,http://192.168.1.1:7088/udp/225.2.1.128:5000
天津体育,http://192.168.1.1:7088/udp/225.2.1.122:5000
天津教育,http://192.168.1.1:7088/udp/225.2.1.129:5000
蓟州台,http://192.168.1.1:7088/udp/239.0.2.78:5000
静海台,http://192.168.1.1:7088/udp/239.0.2.80:5000
河东台,http://192.168.1.1:7088/udp/239.0.2.62:5000
宝坻台,http://192.168.1.1:7088/udp/239.0.2.79:5000
滨海1,http://192.168.1.1:7088/udp/239.0.2.67:5000
滨海2,http://192.168.1.1:7088/udp/239.0.2.68:5000

卫视,#genre#
天津卫视,http://192.168.1.1:7088/udp/225.2.1.111:5000
北京卫视,http://192.168.1.1:7088/udp/225.2.1.113:5000
东方卫视,http://192.168.1.1:7088/udp/239.0.2.31:5000
浙江卫视,http://192.168.1.1:7088/udp/225.2.1.112:5000
湖南卫视,http://192.168.1.1:7088/udp/225.2.1.114:5000
广东卫视,http://192.168.1.1:7088/udp/225.2.1.116:5000
江苏卫视,http://192.168.1.1:7088/udp/225.2.1.126:5000
深圳卫视,http://192.168.1.1:7088/udp/225.2.1.117:5000
安徽卫视,http://192.168.1.1:7088/udp/225.2.1.127:5000
重庆卫视,http://192.168.1.1:7088/udp/225.2.1.155:5000
江西卫视,http://192.168.1.1:7088/udp/239.0.2.29:5000
吉林卫视,http://192.168.1.1:7088/udp/239.0.2.26:5000
河南卫视,http://192.168.1.1:7088/udp/239.0.2.61:5000
湖北卫视,http://192.168.1.1:7088/udp/225.2.1.147:5000
辽宁卫视,http://192.168.1.1:7088/udp/225.2.1.154:5000
四川卫视,http://192.168.1.1:7088/udp/225.2.1.123:5000
河北卫视,http://192.168.1.1:7088/udp/239.0.2.27:5000
黑龙江卫视,http://192.168.1.1:7088/udp/225.2.1.115:5000
贵州卫视,http://192.168.1.1:7088/udp/239.0.2.28:5000
旅游卫视,http://192.168.1.1:7088/udp/239.0.2.82:5000
甘肃卫视,http://192.168.1.1:7088/udp/225.2.1.159:5000
三沙卫视,http://192.168.1.1:7088/udp/225.2.1.182:5000
广西卫视,http://192.168.1.1:7088/udp/239.0.2.81:5000
金鹰卡通,http://192.168.1.1:7088/udp/239.0.2.236:5000
卡酷动画,http://192.168.1.1:7088/udp/225.2.1.58:5000
哈哈炫动,http://192.168.1.1:7088/udp/225.2.1.62:5000
新动漫,http://192.168.1.1:7088/udp/225.2.1.216:5000
内蒙古卫视,http://192.168.1.1:7088/udp/225.2.1.32:5000
山西卫视,http://192.168.1.1:7088/udp/225.2.1.50:5000
青海卫视,http://192.168.1.1:7088/udp/225.2.1.54:5000
宁夏卫视,http://192.168.1.1:7088/udp/225.2.1.56:5000
云南卫视,http://192.168.1.1:7088/udp/225.2.1.61:5000
陕西卫视,http://192.168.1.1:7088/udp/225.2.1.41:5000
新疆卫视,http://192.168.1.1:7088/udp/225.2.1.35:5000
兵团卫视,http://192.168.1.1:7088/udp/225.2.1.57:5000
西藏卫视,http://192.168.1.1:7088/udp/225.2.1.51:5000
中国天气,http://192.168.1.1:7088/udp/239.0.2.119:5000

高清,#genre#
上海纪实,http://192.168.1.1:7088/udp/239.0.2.25:5000
金鹰纪实,http://192.168.1.1:7088/udp/225.2.1.124:5000
全纪实,http://192.168.1.1:7088/udp/225.2.1.145:5000
精彩影视,http://192.168.1.1:7088/udp/225.2.1.141:5000
CHC家庭电影,http://192.168.1.1:7088/udp/225.2.1.213:5000
CHC高清电影,http://192.168.1.1:7088/udp/225.2.1.214:5000
CHC动作电影,http://192.168.1.1:7088/udp/225.2.1.215:5000
超清乐享,http://192.168.1.1:7088/udp/239.0.2.190:5000
欢笑剧场,http://192.168.1.1:7088/udp/225.2.1.139:5000
欢笑剧场,http://192.168.1.1:7088/udp/225.2.1.152:5000
都市剧场,http://192.168.1.1:7088/udp/225.2.1.146:5000
第一剧场,http://192.168.1.1:7088/udp/239.0.2.175:5000
风云剧场,http://192.168.1.1:7088/udp/239.0.2.174:5000
怀旧剧场,http://192.168.1.1:7088/udp/239.0.2.173:5000
世界地理,http://192.168.1.1:7088/udp/239.0.2.171:5000
兵器科技,http://192.168.1.1:7088/udp/239.0.2.166:5000
风云音乐,http://192.168.1.1:7088/udp/239.0.2.176:5000
女性时尚,http://192.168.1.1:7088/udp/239.0.2.172:5000
